sampleID,reads.in,reads.out,no.chim
AA_Kran_Pn_07,85134,22411,13285
AA_Kran_Pn_08,83107,21654,15550
AA_Kran_Pn_09,92174,27616,21203
AA_Kran_Pn_10,77844,20069,12225
AA_Kran_So_1,102746,10633,3905
AA_Kran_So_2,91375,19285,6071
AA_Kran_So_3,143137,34922,16326
AA_Kran_So_4,89271,27896,11624
AA_Kran_So_5,89610,18848,5219
AA_Kran_So_6,110555,27248,12018
AA_Kran_So_7,116017,23738,8650
AA_Kran_So_8,81822,13752,4383
AA_Kran_So_9,100763,25821,9184
AA_LCK_Fr_01,76464,18739,13726
AA_LCK_Fr_02,49948,9919,7566
AA_LCK_Fr_03,68377,16840,11595
AA_LCK_Fr_04,58536,12025,8404
AA_LCK_Fr_05,80126,18759,14307
AA_LCK_Fr_06,104919,25434,15731
AA_LCK_Fr_07,107189,26208,16809
AA_LCK_Fr_08,66451,15315,10774
AA_LCK_Fr_09,77316,7152,5813
AA_LCK_Fr_10,58292,14304,8638
AA_LCK_Le_01,95983,21493,13861
AA_LCK_Le_02,65415,17147,11127
AA_LCK_Le_03,62277,9668,6738
AA_LCK_Le_04,100087,20112,14567
AA_LCK_Le_05,53723,10975,7809
AA_LCK_Le_06,104907,19516,13901
AA_LCK_Le_07,61066,12551,8706
AA_LCK_Le_08,54059,10936,8535
AA_LCK_Le_09,72117,16607,12741
AA_LCK_Le_10,65705,12249,8434
AA_LCK_Pn_01,124667,41137,29635
AA_LCK_Pn_02,85606,22376,16011
AA_LCK_Pn_03,93694,8833,6525
AA_LCK_Pn_04,62868,12709,8531
AA_LCK_Pn_05,74895,19214,12891
AA_LCK_Pn_06,75718,19900,13142
AA_LCK_Pn_07,84301,19218,14103
AA_LCK_Pn_08,90752,25335,16385
AA_LCK_Pn_09,82080,20868,15388
AA_LCK_Pn_10,83248,17954,11194
AA_LCK_So_01,73277,17142,2926
AA_LCK_So_02,76290,14741,1954
AA_LCK_So_03,110440,26146,5316
AA_LCK_So_04,84087,18035,2957
AA_LCK_So_05,82410,18912,2474
AA_LCK_So_06,102397,25787,4573
AA_LCK_So_07,102873,24536,4633
AA_LCK_So_08,61620,16247,2987
AA_LCK_So_09,79105,19712,2788
AA_LCK_So_10,135560,19370,3055
AA_LK_Fr_01,69967,12049,10063
AA_LK_Fr_02,54356,10259,8988
AA_LK_Fr_03,53032,11207,9115
AA_LK_Fr_04,58662,12001,9392
AA_LK_Fr_05,63776,15172,10852
AA_LK_Fr_06,55852,14387,10453
AA_LK_Fr_07,53129,14195,11746
AA_LK_Fr_08,63896,11742,9222
AA_LK_Fr_09,103540,8397,7620
AA_LK_Fr_10,59881,15061,11117
AA_LK_Le_01,72556,17189,12604
AA_LK_Le_02,65431,14760,10098
AA_LK_Le_03,53117,13352,9664
AA_LK_Le_04,67008,8536,7601
AA_LK_Le_05,50922,11459,8703
AA_LK_Le_06,57821,11030,9185
AA_LK_Le_07,78207,18191,13451
AA_LK_Le_08,53687,7127,5160
AA_LK_Le_09,83970,19782,13000
AA_LK_Le_10,79527,19218,13145
AA_LK_Pn_01,51865,14792,10728
AA_LK_Pn_02,86982,23034,16037
AA_LK_Pn_03,93064,25690,18177
AA_LK_Pn_04,78228,8226,6054
AA_LK_Pn_05,53333,14164,11706
AA_LK_Pn_06,52914,11825,8667
AA_LK_Pn_07,115200,33427,22365
AA_LK_Pn_08,69890,10326,5661
AA_LK_Pn_09,102786,20960,12662
AA_LK_Pn_10,97150,14673,8688
AA_LK_So_01,88111,11926,4847
AA_LK_So_02,86391,23765,10527
AA_LK_So_03,145027,23469,11806
AA_LK_So_04,84485,23536,15297
AA_LK_So_05,96980,17930,4856
AA_LK_So_06,103537,11224,2115
AA_LK_So_07,98519,25006,15030
AA_LK_So_08,87761,19442,5559
AA_LK_So_09,68383,13183,4011
AA_LK_So_10,107690,22384,6842
AA_Sem_Fr_01,74445,16000,11806
AA_Sem_Fr_02,86404,18559,14507
AA_Sem_Fr_03,82777,15863,11727
AA_Sem_Fr_04,67859,16079,12195
AA_Sem_Fr_05,77485,18773,13740
AA_Sem_Fr_06,72249,15948,10249
AA_Sem_Le_01,50229,10263,7232
AA_Sem_Le_02,60949,14865,9017
AA_Sem_Le_03,58936,7201,6089
AA_Sem_Le_04,58962,13702,9324
AA_Sem_Le_05,66668,14466,9382
AA_Sem_Le_06,62517,12581,7870
AA_Sem_Le_07,60683,8020,7214
AA_Sem_Le_08,64098,9662,7015
AA_Sem_Le_09,67730,7032,5959
AA_Sem_Le_10,63875,16020,10926
